"","CVE_FED","entidad","distrito","dist_min"
"1",101,1,1,0.193739098347919
"2",102,1,2,0.408860344461216
"3",103,1,3,0.460174480410015
"4",201,2,1,0.893415474612669
"5",202,2,2,0.683760357512534
"6",203,2,3,0.999781333794459
"7",204,2,4,0.926718515876227
"8",205,2,5,1.14793954165921
"9",206,2,6,1.24673016811554
"10",207,2,7,0.233026757015722
"11",208,2,8,1.12375758562166
"12",301,3,1,1.35701488916567
"13",302,3,2,0.0399816848993091
"14",401,4,1,0.747453841579538
"15",402,4,2,0.799143268910795
"16",501,5,1,0.638581504871938
"17",502,5,2,0.598402256590286
"18",503,5,3,1.33126610495247
"19",504,5,4,0.328172635191006
"20",505,5,5,1.1235573960438
"21",506,5,6,1.54431237581018
"22",507,5,7,1.3861975685853
"23",601,6,1,0.0892429535027461
"24",602,6,2,0.373825113632106
