,CVE_FED,entidad,distrito,ANP_Cercana,dist_min
1,2701,27,1,132,0
2,2702,27,2,139,17466.97943
3,2703,27,3,138,31876.21987
4,2704,27,4,138,0
5,2705,27,5,132,0
6,2706,27,6,138,17256.86265
7,2801,28,1,13,72873.15797
8,2802,28,2,40,34342.32316
9,2803,28,3,133,0
10,2804,28,4,133,10349.79193
11,2805,28,5,173,11155.12029
12,2806,28,6,148,0
13,2807,28,7,173,22372.28146
14,2808,28,8,173,77222.0782
15,2809,28,9,133,29953.72179
16,2901,29,1,70,0
17,2902,29,2,106,0
18,2903,29,3,106,0
19,3001,30,1,97,1249.416403
20,3002,30,2,137,1313.262542
21,3003,30,3,97,5216.06483
22,3004,30,4,167,0
23,3005,30,5,112,26316.23667
24,3006,30,6,112,10418.19141
25,3007,30,7,28,6127.207767
26,3008,30,8,167,2352.920544
27,3009,30,9,28,0
28,3010,30,10,28,13725.16961
29,3011,30,11,182,8831.589828
30,3012,30,12,167,0
31,3013,30,13,167,12679.22223
32,3014,30,14,139,6964.813509
33,3015,30,15,9,0
34,3016,30,16,9,0
35,3017,30,17,182,13385.9709
36,3018,30,18,9,0
37,3019,30,19,182,0
38,3020,30,20,182,0
39,3101,31,1,80,0
40,3102,31,2,134,0
41,3103,31,3,170,7435.205793
42,3104,31,4,170,0
43,3105,31,5,134,0
44,3201,32,1,15,0
45,3202,32,2,12,0
46,3203,32,3,96,0
47,3204,32,4,12,0
